Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,27887.900390625,27887.900390625,27937.470703125,27519.259765625,27521.279296875,7400
2015-01-05,27842.3203125,27842.3203125,28064.490234375,27786.849609375,27978.4296875,9200
2015-01-06,26987.4609375,26987.4609375,27698.9296875,26937.060546875,27694.23046875,14100
2015-01-07,26908.8203125,26908.8203125,27051.599609375,26776.119140625,26983.4296875,12200
2015-01-08,27274.7109375,27274.7109375,27316.41015625,27101.939453125,27178.76953125,8200
2015-01-09,27458.380859375,27458.380859375,27507.669921875,27119.630859375,27404.189453125,11100
2015-01-12,27585.26953125,27585.26953125,27620.66015625,27323.740234375,27523.859375,7500
2015-01-13,27425.73046875,27425.73046875,27670.189453125,27324.580078125,27611.560546875,7800
2015-01-14,27346.8203125,27346.8203125,27512.80078125,27203.25,27432.140625,10200
2015-01-15,28075.55078125,28075.55078125,28194.609375,27703.69921875,27831.16015625,16700
2015-01-16,28121.890625,28121.890625,28176.099609375,27945.310546875,28056.609375,12100
2015-01-19,28262.009765625,28262.009765625,28334.060546875,28197.359375,28249.83984375,10900
2015-01-20,28784.669921875,28784.669921875,28829.2890625,28324.849609375,28324.849609375,11100
2015-01-21,28888.859375,28888.859375,28958.099609375,28792.5703125,28843.08984375,15400
2015-01-22,29006.01953125,29006.01953125,29060.41015625,28892.23046875,28957.7890625,11100
2015-01-23,29278.83984375,29278.83984375,29408.73046875,29165.560546875,29189.44921875,11900
2015-01-27,29571.0390625,29571.0390625,29618.58984375,29286.08984375,29451.650390625,11300
2015-01-28,29559.1796875,29559.1796875,29786.3203125,29417.669921875,29565.720703125,11200
2015-01-29,29681.76953125,29681.76953125,29740.630859375,29378.30078125,29516.490234375,12700
2015-01-30,29182.94921875,29182.94921875,29844.16015625,29070.48046875,29801.599609375,15800
2015-02-02,29122.26953125,29122.26953125,29268.130859375,28958.51953125,29143.630859375,18000
2015-02-03,29000.140625,29000.140625,29253.060546875,28900.41015625,29217.400390625,16600
2015-02-04,28883.109375,28883.109375,29133.619140625,28824.6796875,29129.849609375,15800
2015-02-05,28850.970703125,28850.970703125,29277.830078125,28753.2890625,28912.380859375,12800
2015-02-06,28717.91015625,28717.91015625,28922.849609375,28647.140625,28892.2109375,11400
2015-02-09,28227.390625,28227.390625,28566.5,28183.3203125,28566.5,11700
2015-02-10,28355.619140625,28355.619140625,28633.720703125,28044.490234375,28122.48046875,14600
2015-02-11,28533.970703125,28533.970703125,28618.91015625,28424.390625,28450.259765625,13800
2015-02-12,28805.099609375,28805.099609375,28838.51953125,28406.25,28650.25,13800
2015-02-13,29094.9296875,29094.9296875,29154.669921875,28835.69921875,28888.990234375,17600
2015-02-16,29135.880859375,29135.880859375,29325.349609375,29083.400390625,29170.76953125,10500
2015-02-18,29320.259765625,29320.259765625,29411.3203125,29126.91015625,29136.0703125,11000
2015-02-19,29462.26953125,29462.26953125,29522.859375,29108.150390625,29434.91015625,11900
2015-02-20,29231.41015625,29231.41015625,29462.08984375,29178.259765625,29446.2109375,11500
2015-02-23,28975.109375,28975.109375,29362.9609375,28913.16015625,29316.580078125,8800
2015-02-24,29004.66015625,29004.66015625,29130.669921875,28875.939453125,29016.55078125,10200
2015-02-25,29007.990234375,29007.990234375,29269.830078125,28967.609375,29115.3203125,8000
2015-02-26,28746.650390625,28746.650390625,29069.130859375,28693.8203125,29051.900390625,10700
2015-02-27,29220.119140625,29220.119140625,29254.01953125,28837.060546875,28865.119140625,16500
2015-03-02,29459.140625,29459.140625,29576.3203125,29259.76953125,29533.419921875,15300
