Date,Adj Close,Close,High,Low,Open,Volume,Return
2015-01-02,581.25,581.25,591.0,574.75,589.75,38997,
2015-01-05,589.0,589.0,597.5,579.0,579.75,45078,0.01333333333333342
2015-01-06,591.75,591.75,603.5,586.0,588.0,52463,0.004668930390492321
2015-01-07,579.5,579.5,594.5,578.5,594.25,46079,-0.020701309674693746
2015-01-08,567.0,567.0,581.0,565.75,580.0,49560,-0.021570319240724722
2015-01-09,563.75,563.75,574.0,561.75,568.0,54780,-0.005731922398589107
2015-01-12,555.5,555.5,567.0,554.0,563.0,74233,-0.014634146341463428
2015-01-13,548.0,548.0,566.75,547.25,555.5,61834,-0.013501350135013523
2015-01-14,537.75,537.75,549.75,536.0,548.0,66809,-0.01870437956204385
2015-01-15,532.75,532.75,545.0,528.0,540.5,59519,-0.009298000929800043
2015-01-16,532.75,532.75,542.0,531.25,536.75,54200,0.0
2015-01-20,537.0,537.0,539.75,523.0,532.25,62926,0.007977475363678987
2015-01-21,536.75,536.75,544.5,535.5,537.25,50807,-0.0004655493482309536
2015-01-22,533.75,533.75,542.5,532.5,536.5,44525,-0.005589194224499328
2015-01-23,530.0,530.0,536.0,526.25,532.75,57432,-0.007025761124121788
2015-01-26,520.5,520.5,534.75,519.25,530.75,52607,-0.017924528301886844
2015-01-27,519.0,519.0,524.25,517.5,519.5,40915,-0.0028818443804035088
2015-01-28,505.25,505.25,520.5,503.0,519.0,78409,-0.026493256262042353
2015-01-29,507.75,507.75,512.25,500.75,506.0,76823,0.004948045522018774
2015-01-30,502.75,502.75,511.75,497.0,508.0,67223,-0.00984736582964052
2015-02-02,492.75,492.75,505.5,492.25,503.0,58166,-0.019890601690701115
2015-02-03,513.75,513.75,515.75,493.0,493.5,71013,0.0426179604261796
2015-02-04,511.0,511.0,521.75,507.5,514.5,64767,-0.005352798053527952
2015-02-05,525.75,525.75,527.75,508.5,511.25,84138,0.02886497064579263
2015-02-06,527.0,527.0,534.0,516.5,526.5,85342,0.002377555872562942
2015-02-09,529.75,529.75,532.25,521.5,527.0,77084,0.005218216318785496
2015-02-10,521.75,521.75,530.75,518.5,527.0,86985,-0.015101462954223654
2015-02-11,525.75,525.75,528.0,515.75,520.75,96606,0.007666506947771934
2015-02-12,521.25,521.25,527.75,518.25,523.25,92568,-0.008559201141226769
2015-02-13,533.0,533.0,534.25,519.5,520.75,85848,0.022541966426858462
2015-02-17,534.75,534.75,548.0,531.75,534.5,62801,0.0032833020637899057
2015-02-18,527.75,527.75,543.5,523.5,537.0,63119,-0.01309022907900892
2015-02-19,527.75,527.75,537.25,523.75,528.0,45850,0.0
2015-02-20,510.25,510.25,531.5,509.5,526.5,59446,-0.03315963998105165
2015-02-23,505.75,505.75,515.0,503.5,510.75,32153,-0.00881920627143562
2015-02-24,505.75,505.75,513.25,504.5,505.75,18575,0.0
2015-02-25,497.75,497.75,506.5,496.0,506.5,12524,-0.015818091942659374
2015-02-26,503.25,503.25,504.5,491.25,498.0,13499,0.011049723756906049
2015-02-27,517.5,517.5,523.0,502.0,507.0,2654,0.028315946348733245
2015-03-02,508.0,508.0,521.25,507.25,517.25,2490,-0.018357487922705307
2015-03-03,508.75,508.75,509.5,500.5,508.5,1527,0.001476377952756014
2015-03-04,493.5,493.5,509.0,491.25,507.0,1558,-0.029975429975430012
2015-03-05,481.25,481.25,492.5,481.0,491.75,609,-0.024822695035460973
2015-03-06,485.75,485.75,488.75,482.25,482.25,305,0.009350649350649443
2015-03-09,494.25,494.25,499.75,491.25,491.25,54,0.01749871332990227
2015-03-10,496.5,496.5,496.5,489.0,490.75,83,0.004552352048558417
